id,date,open,high,low,close,volume,market_capital
1358,2005/5/27,5966.41 ,5998.78 ,5966.41 ,5991.55 ,3090785.00 ,13786706.00 
1359,2005/5/30,5996.89 ,6009.52 ,5971.97 ,6009.52 ,2687518.00 ,13828165.00 
1360,2005/5/31,5998.90 ,6026.53 ,5981.24 ,6011.56 ,3246301.00 ,13836341.00 
1361,2005/6/1,6002.55 ,6023.34 ,5962.88 ,5971.62 ,3588442.00 ,13745784.00 
1362,2005/6/2,6008.90 ,6065.23 ,6008.90 ,6039.48 ,4144516.00 ,13901702.00 
1363,2005/6/3,6062.78 ,6113.49 ,6051.27 ,6107.95 ,4992238.00 ,14059354.00 
1364,2005/6/6,6109.30 ,6140.74 ,6086.41 ,6137.57 ,4169224.00 ,14127726.00 
1365,2005/6/7,6144.25 ,6146.94 ,6096.84 ,6105.79 ,3968624.00 ,14054732.00 
1366,2005/6/8,6121.34 ,6170.47 ,6121.21 ,6161.66 ,3688121.00 ,14183510.00 
1367,2005/6/9,6172.37 ,6188.59 ,6144.27 ,6145.92 ,4645708.00 ,14147256.00 
1368,2005/6/10,6188.10 ,6198.30 ,6158.13 ,6192.35 ,3900740.00 ,14254753.00 
1369,2005/6/13,6194.90 ,6236.15 ,6167.78 ,6231.05 ,3424700.00 ,14347010.00 
1370,2005/6/14,6244.56 ,6266.25 ,6205.76 ,6205.76 ,3782460.00 ,14288603.00 
1371,2005/6/15,6219.80 ,6252.10 ,6215.73 ,6252.10 ,3414307.00 ,14420425.00 
1372,2005/6/16,6298.35 ,6298.35 ,6249.00 ,6282.41 ,3674377.00 ,14493177.00 
1373,2005/6/17,6304.24 ,6357.39 ,6293.23 ,6293.56 ,4778339.00 ,14520335.00 
1374,2005/6/20,6311.67 ,6315.29 ,6272.97 ,6296.89 ,3037151.00 ,14528381.00 
1375,2005/6/21,6304.33 ,6304.88 ,6265.69 ,6278.46 ,3416562.00 ,14486046.00 
1376,2005/6/22,6291.91 ,6381.23 ,6291.91 ,6357.83 ,4336015.00 ,14679897.00 
1377,2005/6/23,6382.60 ,6401.81 ,6369.21 ,6373.86 ,4394543.00 ,14717871.00 
1378,2005/6/24,6350.74 ,6363.88 ,6324.22 ,6340.69 ,3290909.00 ,14642799.00 
1379,2005/6/27,6307.61 ,6342.45 ,6279.39 ,6302.99 ,3187031.00 ,14555838.00 
1380,2005/6/28,6303.66 ,6323.10 ,6287.80 ,6316.84 ,2921753.00 ,14589134.00 
1381,2005/6/29,6370.14 ,6375.68 ,6231.65 ,6231.65 ,3931508.00 ,14392810.00 
1382,2005/6/30,6278.75 ,6280.53 ,6240.84 ,6241.94 ,2768726.00 ,14432555.00 
1383,2005/7/1,6240.08 ,6275.48 ,6195.17 ,6272.14 ,2786347.00 ,14522843.00 
1384,2005/7/4,6269.63 ,6288.96 ,6257.90 ,6271.20 ,2621165.00 ,14520860.00 
1385,2005/7/5,6269.78 ,6279.20 ,6232.04 ,6232.04 ,2859334.00 ,14430534.00 
1386,2005/7/6,6249.29 ,6256.90 ,6221.03 ,6222.05 ,3576640.00 ,14407754.00 
1387,2005/7/7,6219.46 ,6221.59 ,6180.58 ,6212.60 ,3148785.00 ,14386362.00 
1388,2005/7/8,6199.79 ,6230.51 ,6186.79 ,6201.40 ,2984019.00 ,14360561.00 
1389,2005/7/11,6255.40 ,6305.61 ,6249.41 ,6298.86 ,3635928.00 ,14586542.00 
1390,2005/7/12,6337.50 ,6365.76 ,6337.50 ,6358.81 ,4060563.00 ,14725946.00 
1391,2005/7/13,6360.60 ,6406.99 ,6352.21 ,6377.09 ,4312261.00 ,14775308.00 
